feature,importance
alcohol,0.28286051277951957
sulphates,0.13563944632936106
volatile acidity,0.115786633818414
total sulfur dioxide,0.0774147113100607
chlorides,0.06640024281012842
residual sugar,0.05926156121389488
pH,0.05760501817402969
density,0.05499785803885045
fixed acidity,0.052539696748687054
free sulfur dioxide,0.05102527137846662
