feature,importance
alcohol,0.45907612469654735
sulphates,0.15599803419609504
volatile acidity,0.13023229256433785
total sulfur dioxide,0.054379850112299885
fixed acidity,0.03384873668043383
chlorides,0.031010287515849198
residual sugar,0.03069912609443412
pH,0.02942809800329245
free sulfur dioxide,0.0281719338840938
density,0.024842823992747114
