feature,importance
alcohol,0.2794593476896908
sulphates,0.13356955590642228
volatile acidity,0.1148237362956743
total sulfur dioxide,0.07923919187336959
chlorides,0.06737656074806056
residual sugar,0.06021721079709582
pH,0.05881670860895588
density,0.055378158365439016
fixed acidity,0.05177247023180741
free sulfur dioxide,0.05127727860048074
