feature,importance
alcohol,0.46774833204109145
sulphates,0.1741832637983486
volatile acidity,0.12519321819353663
total sulfur dioxide,0.05041698797473311
chlorides,0.040372598087967566
residual sugar,0.03281467068831889
pH,0.031894165085545635
free sulfur dioxide,0.02683122660677823
fixed acidity,0.021521452827878033
density,0.016289088204898248
